type	latitude	longitude	altitude (m)	name	desc
T	45.729942000	6.761952000	1950.0		
T	45.730103000	6.762866000	1942.9		
T	45.730423000	6.763388000	1938.5		
T	45.730457000	6.763958000	1934.6		
T	45.730919000	6.764748000	1928.5		
T	45.730946000	6.764889000	1927.1		
T	45.730862000	6.764979000	1924.7		
T	45.730717000	6.764916000	1922.1		
T	45.730488000	6.764522000	1921.7		
T	45.730068000	6.764216000	1916.9		
T	45.729809000	6.763643000	1914.8		
T	45.729572000	6.763666000	1909.2		
T	45.729336000	6.763551000	1908.8		
T	45.729080000	6.763531000	1906.0		
T	45.728756000	6.763357000	1901.7		
T	45.728394000	6.762580000	1897.1		
T	45.728123000	6.762268000	1892.2		
T	45.727837000	6.761782000	1889.9		
T	45.727814000	6.761909000	1886.9		
T	45.728188000	6.762820000	1883.8		
T	45.728233000	6.763107000	1881.3		
T	45.728188000	6.763603000	1876.7		
T	45.728355000	6.764303000	1869.4		
T	45.728436000	6.764466000	1866.2		
T	45.728764000	6.764676000	1867.0		
T	45.728802000	6.764791000	1864.4		
T	45.728733000	6.764863000	1860.6		
T	45.728317000	6.764832000	1855.3		
T	45.727936000	6.764654000	1850.2		
T	45.727650000	6.763809000	1847.8		
T	45.727585000	6.763693000	1846.3		
T	45.727489000	6.763676000	1843.2		
T	45.727470000	6.764427000	1838.5		
T	45.727562000	6.764844000	1834.9		
T	45.728603000	6.766154000	1821.1		
T	45.728561000	6.766216000	1819.2		
T	45.728405000	6.766178000	1817.1		
T	45.728210000	6.766248000	1812.1		
T	45.727982000	6.766404000	1805.5		
T	45.728012000	6.766653000	1802.4		
T	45.727718000	6.766606000	1798.4		
T	45.727634000	6.766678000	1796.8		
T	45.727623000	6.766955000	1793.3		
T	45.727486000	6.767244000	1790.7		
T	45.727558000	6.767587000	1787.5		
T	45.727531000	6.767792000	1784.4		
T	45.727352000	6.768273000	1778.0		
T	45.727264000	6.769092000	1774.4		
T	45.727360000	6.769026000	1773.2		
T	45.727489000	6.769072000	1774.3		
T	45.727455000	6.769115000	1775.0		
T	45.727501000	6.769088000	1774.6		
T	45.727753000	6.769310000	1777.7		
T	45.727970000	6.769610000	1783.3		
T	45.728222000	6.769599000	1783.7		
T	45.728474000	6.769790000	1790.5		
T	45.728775000	6.769841000	1789.9		
T	45.729271000	6.770592000	1800.1		
T	45.729565000	6.770833000	1801.1		
T	45.730064000	6.771618000	1807.8		
T	45.730049000	6.772395000	1817.0		
T	45.730289000	6.772913000	1821.5		
T	45.730614000	6.773329000	1826.2		
T	45.730942000	6.773624000	1830.0		
T	45.731510000	6.774645000	1839.9		
T	45.732193000	6.775053000	1846.8		
T	45.732552000	6.775563000	1852.3		
T	45.732742000	6.776064000	1856.6		
T	45.733437000	6.777057000	1862.7		
T	45.734161000	6.777433000	1867.6		
T	45.734360000	6.777454000	1867.4		
T	45.734512000	6.777632000	1870.4		
T	45.734829000	6.777837000	1872.2		
T	45.735046000	6.778053000	1871.0		
T	45.735123000	6.778564000	1872.0		
T	45.735229000	6.778567000	1871.7		
T	45.735474000	6.778214000	1869.6		
T	45.735657000	6.778167000	1871.3		
T	45.735859000	6.778207000	1871.0		
T	45.736252000	6.778523000	1868.9		
T	45.736458000	6.778604000	1867.5		
T	45.736942000	6.779079000	1866.7		
T	45.736740000	6.779537000	1871.0		
T	45.736637000	6.779599000	1873.5		
T	45.736511000	6.779478000	1875.4		
T	45.736397000	6.779164000	1875.8		
T	45.736305000	6.779110000	1878.0		
T	45.736164000	6.779085000	1882.2		
T	45.736137000	6.779137000	1883.7		
T	45.736183000	6.779405000	1885.7		
T	45.736137000	6.779442000	1887.9		
T	45.736012000	6.779337000	1890.4		
T	45.735828000	6.779335000	1895.8		
T	45.735489000	6.779203000	1897.9		
T	45.735729000	6.779847000	1909.9		
T	45.736004000	6.780148000	1914.7		
T	45.736092000	6.780596000	1919.5		
T	45.736599000	6.781318000	1930.2		
T	45.736618000	6.781441000	1931.5		
T	45.736374000	6.781463000	1936.8		
T	45.736317000	6.781379000	1935.8		
T	45.736275000	6.781418000	1938.2		
T	45.735737000	6.781323000	1946.7		
T	45.735252000	6.781190000	1955.3		
T	45.735020000	6.781263000	1959.6		
T	45.735020000	6.781358000	1962.0		
T	45.735687000	6.781892000	1972.5		
T	45.735870000	6.782217000	1976.9		
T	45.735607000	6.782026000	1980.9		
T	45.734970000	6.782086000	1993.4		
T	45.734741000	6.782002000	1995.8		
T	45.734798000	6.782155000	2000.6		
T	45.734661000	6.782195000	2001.3		
T	45.734795000	6.782395000	2010.0		
T	45.734699000	6.782407000	2010.5		
T	45.734718000	6.782475000	2013.1		
T	45.734810000	6.782548000	2016.2		
T	45.735146000	6.782590000	2016.8		
T	45.734837000	6.782870000	2029.1		
T	45.734741000	6.782874000	2027.4		
T	45.735126000	6.782932000	2032.8		
T	45.735546000	6.783394000	2043.5		
T	45.735783000	6.784224000	2058.9		
T	45.735947000	6.784459000	2065.4		
T	45.736179000	6.784412000	2064.6		
T	45.736210000	6.784461000	2066.1		
T	45.736122000	6.784448000	2065.2		
T	45.736221000	6.784470000	2066.5		
T	45.736179000	6.784436000	2065.3		
T	45.736313000	6.784646000	2071.2		
T	45.736530000	6.784750000	2074.1		
T	45.736622000	6.784682000	2072.8		
T	45.736713000	6.784714000	2074.1		
T	45.736908000	6.784900000	2079.6		
T	45.737377000	6.785115000	2086.2		
T	45.737747000	6.785700000	2099.7		
T	45.738300000	6.785986000	2112.2		
T	45.739033000	6.786750000	2131.0		
T	45.739014000	6.787308000	2142.5		
T	45.739365000	6.787997000	2145.3		
T	45.739422000	6.788479000	2144.7		
T	45.739506000	6.788550000	2141.6		
T	45.739647000	6.788941000	2140.1		
T	45.739681000	6.789283000	2142.1		
T	45.739796000	6.789492000	2147.9		
T	45.739971000	6.789244000	2146.9		
T	45.740410000	6.789142000	2155.3		
T	45.740486000	6.789214000	2159.8		
T	45.740597000	6.789086000	2159.1		
T	45.740822000	6.789264000	2161.9		
T	45.741024000	6.789303000	2163.1		
T	45.741154000	6.789400000	2165.0		
T	45.741486000	6.789977000	2170.0		
T	45.741467000	6.790333000	2177.9		
T	45.741669000	6.790805000	2184.0		
T	45.741699000	6.791069000	2188.3		
T	45.741863000	6.791327000	2190.0		
T	45.741924000	6.791724000	2196.8		
T	45.742016000	6.791738000	2197.6		
T	45.741962000	6.792133000	2205.2		
T	45.742344000	6.792513000	2218.3		
T	45.742577000	6.792628000	2225.5		
T	45.742798000	6.792966000	2231.4		
T	45.742893000	6.792995000	2233.6		
T	45.742977000	6.792939000	2235.1		
T	45.743076000	6.793177000	2239.0		
T	45.743286000	6.793309000	2244.7		
T	45.743469000	6.793264000	2250.3		
T	45.743542000	6.792962000	2251.4		
T	45.743786000	6.792925000	2257.7		
T	45.744011000	6.792224000	2263.7		
T	45.744244000	6.791955000	2269.1		
T	45.744858000	6.791558000	2281.6		
T	45.745045000	6.791553000	2286.6		
T	45.745243000	6.791323000	2288.7		
T	45.745392000	6.790727000	2285.4		
T	45.745285000	6.790465000	2280.4		
T	45.745510000	6.790787000	2287.6		
T	45.745644000	6.790819000	2288.4		
T	45.745598000	6.791189000	2294.7		
T	45.745487000	6.791308000	2294.0		
T	45.745274000	6.791303000	2289.6		
T	45.745789000	6.791500000	2301.0		
T	45.746033000	6.791813000	2305.8		
T	45.746098000	6.792641000	2320.4		
T	45.746227000	6.792928000	2324.6		
T	45.746170000	6.792812000	2323.1		
T	45.746304000	6.793379000	2331.8		
T	45.746635000	6.794050000	2341.9		
T	45.746719000	6.794531000	2350.4		
T	45.747002000	6.795264000	2361.6		
T	45.747334000	6.795879000	2368.2		
T	45.747696000	6.797015000	2381.9		
T	45.747955000	6.797493000	2391.1		
T	45.748276000	6.797787000	2400.1		
T	45.748535000	6.798371000	2411.8		
T	45.748730000	6.799374000	2423.5		
T	45.748882000	6.799652000	2429.4		
T	45.749447000	6.801275000	2456.0		
T	45.749519000	6.801883000	2460.6		
T	45.749973000	6.803225000	2476.8		
T	45.750549000	6.804412000	2488.0		
T	45.750641000	6.804463000	2489.8		
T	45.750862000	6.805236000	2496.6		
T	45.751637000	6.806575000	2513.0		
T	45.751392000	6.807122000	2512.3		
T	45.751209000	6.806863000	2513.3		
T	45.751301000	6.806904000	2513.1		
T	45.751369000	6.807198000	2512.0		
T	45.751320000	6.807063000	2512.6		
T	45.751270000	6.807103000	2512.4		
T	45.751369000	6.807114000	2512.4		
T	45.751328000	6.807399000	2509.9		
T	45.751247000	6.807491000	2508.6		
T	45.751236000	6.807703000	2506.3		
T	45.750961000	6.807813000	2504.5		
T	45.750923000	6.808031000	2501.6		
T	45.751148000	6.808474000	2496.1		
T	45.751217000	6.808795000	2492.6		
T	45.751183000	6.809095000	2489.5		
T	45.751324000	6.809726000	2479.2		
T	45.751511000	6.810054000	2474.6		
T	45.751556000	6.810713000	2466.3		
T	45.751724000	6.811122000	2460.0		
T	45.751682000	6.811337000	2457.6		
T	45.751747000	6.811514000	2452.6		
T	45.751736000	6.811785000	2448.8		
T	45.751522000	6.812157000	2444.7		
T	45.751652000	6.813112000	2429.4		
T	45.752079000	6.814391000	2405.1		
T	45.752445000	6.815056000	2391.7		
T	45.752533000	6.815388000	2381.0		
T	45.752659000	6.815491000	2375.4		
T	45.752617000	6.815726000	2369.5		
T	45.752483000	6.815861000	2366.5		
T	45.752552000	6.815975000	2363.1		
T	45.752552000	6.816183000	2358.5		
T	45.752670000	6.816284000	2353.1		
T	45.752609000	6.816856000	2344.2		
T	45.752560000	6.816871000	2345.4		
T	45.752605000	6.816871000	2344.0		
T	45.752628000	6.817007000	2340.5		
T	45.752598000	6.817562000	2329.3		
T	45.752968000	6.817880000	2316.6		
T	45.753082000	6.817896000	2314.2		
T	45.753258000	6.818137000	2308.0		
T	45.753407000	6.818076000	2307.1		
T	45.753994000	6.818944000	2297.2		
T	45.754139000	6.818905000	2296.3		
T	45.754257000	6.819033000	2299.6		
T	45.754215000	6.819293000	2296.8		
T	45.754391000	6.819786000	2297.8		
T	45.754372000	6.821354000	2289.4		
T	45.754482000	6.821585000	2290.4		
T	45.754501000	6.821948000	2286.9		
T	45.755360000	6.823553000	2281.7		
T	45.755848000	6.824947000	2261.4		
T	45.756153000	6.825293000	2258.0		
T	45.756462000	6.825959000	2249.2		
T	45.756901000	6.826588000	2240.2		
T	45.757080000	6.826644000	2238.1		
T	45.757393000	6.827004000	2232.8		
T	45.758099000	6.828415000	2217.5		
T	45.758324000	6.828687000	2213.9		
T	45.758846000	6.829985000	2205.1		
T	45.759319000	6.830899000	2183.2		
T	45.759506000	6.831131000	2180.3		
T	45.759823000	6.831907000	2166.2		
T	45.760132000	6.832459000	2163.7		
T	45.760670000	6.833097000	2161.9		
T	45.760818000	6.833380000	2160.1		
T	45.760773000	6.833383000	2160.4		
T	45.760773000	6.833470000	2160.3		
T	45.760815000	6.833426000	2160.1		
T	45.760777000	6.833485000	2160.3		
T	45.761047000	6.833810000	2159.4		
T	45.761177000	6.833849000	2160.3		
T	45.761066000	6.833873000	2159.2		
T	45.761211000	6.833873000	2160.6		
T	45.761189000	6.833932000	2159.9		
T	45.761375000	6.834037000	2160.3		
T	45.761497000	6.834204000	2159.0		
T	45.762039000	6.834595000	2160.8		
T	45.763111000	6.836395000	2151.0		
T	45.763294000	6.836546000	2150.5		
T	45.763683000	6.836657000	2150.9		
T	45.763737000	6.836765000	2150.4		
T	45.763847000	6.836755000	2151.1		
T	45.764042000	6.836856000	2152.3		
T	45.764507000	6.837440000	2152.3		
T	45.764519000	6.837669000	2148.3		
T	45.764809000	6.838088000	2145.6		
T	45.764965000	6.838102000	2146.6		
T	45.765198000	6.838231000	2146.4		
T	45.765385000	6.838502000	2145.7		
T	45.765900000	6.838678000	2148.8		
T	45.766060000	6.838832000	2150.4		
T	45.766125000	6.838667000	2151.6		
T	45.766148000	6.838168000	2159.8		
T	45.766232000	6.838212000	2159.5		
T	45.766171000	6.838145000	2160.5		
T	45.766232000	6.837906000	2166.5		
T	45.766552000	6.837712000	2173.6		
T	45.766537000	6.837446000	2181.0		
T	45.766850000	6.837362000	2190.6		
T	45.766811000	6.837552000	2183.6		
T	45.766933000	6.837412000	2192.5		
T	45.766987000	6.837506000	2190.2		
T	45.766987000	6.837383000	2192.8		
T	45.766865000	6.837204000	2195.0		
T	45.766781000	6.836542000	2208.5		
T	45.766739000	6.836506000	2210.0		
T	45.766644000	6.836576000	2209.3		
T	45.766747000	6.836494000	2210.1		
T	45.766823000	6.836653000	2205.6		
T	45.766865000	6.836638000	2205.4		
T	45.766853000	6.837491000	2187.3		
T	45.767178000	6.837559000	2186.6		
T	45.767212000	6.837633000	2185.1		
T	45.767330000	6.838646000	2153.0		
T	45.767368000	6.837028000	2183.0		
T	45.767284000	6.837241000	2186.3		
T	45.767025000	6.837456000	2190.7		
T	45.767105000	6.837789000	2182.3		
T	45.767040000	6.838110000	2171.8		
T	45.766731000	6.838222000	2161.7		
T	45.766815000	6.838283000	2161.6		
T	45.766785000	6.838344000	2159.3		
T	45.766598000	6.838446000	2155.1		
T	45.766510000	6.838706000	2149.3		
T	45.766376000	6.838788000	2149.3		
T	45.766293000	6.838968000	2146.5		
T	45.766132000	6.840511000	2124.5		
T	45.765903000	6.841128000	2119.0		
T	45.766434000	6.840331000	2111.7		
T	45.766991000	6.839896000	2101.3		
T	45.767529000	6.840121000	2091.5		
T	45.767830000	6.840179000	2085.7		
T	45.768108000	6.840073000	2082.7		
T	45.768139000	6.840120000	2079.8		
T	45.767887000	6.840438000	2073.8		
T	45.767544000	6.840708000	2069.0		
T	45.767513000	6.840769000	2067.6		
T	45.767563000	6.840802000	2065.8		
T	45.767708000	6.840751000	2065.1		
T	45.767784000	6.840816000	2061.5		
T	45.767395000	6.841391000	2054.3		
T	45.767605000	6.842484000	2039.5		
T	45.767628000	6.842993000	2034.4		
T	45.767555000	6.843337000	2034.2		
T	45.767704000	6.845200000	2031.1		
T	45.767628000	6.845539000	2023.2		
T	45.767426000	6.845500000	2020.4		
T	45.767284000	6.845379000	2019.0		
T	45.767220000	6.845522000	2014.6		
T	45.767365000	6.845725000	2012.7		
T	45.767685000	6.845919000	2011.5		
T	45.767845000	6.846441000	2000.2		
T	45.768402000	6.847103000	1993.0		
T	45.768429000	6.847666000	1986.6		
T	45.768360000	6.848015000	1983.4		
T	45.768410000	6.848451000	1981.0		
T	45.769211000	6.851062000	1972.0		
T	45.770382000	6.855431000	1963.7		
T	45.771191000	6.858100000	1962.3		
T	45.772034000	6.860216000	1959.9		
T	45.772411000	6.860901000	1958.4		
T	45.772530000	6.861652000	1957.8		
T	45.772511000	6.863146000	1956.9		
T	45.772694000	6.863493000	1956.8		
T	45.772957000	6.864340000	1958.1		
T	45.773064000	6.864488000	1955.4		
T	45.773552000	6.864777000	1954.5		
T	45.773777000	6.865090000	1954.6		
T	45.773899000	6.865491000	1955.0		
T	45.773853000	6.866348000	1957.9		
T	45.774250000	6.867179000	1958.9		
T	45.774475000	6.867489000	1957.4		
T	45.774979000	6.868459000	1956.5		
T	45.775108000	6.869072000	1961.9		
T	45.775406000	6.869964000	1961.5		
T	45.775452000	6.869943000	1959.0		
T	45.775402000	6.870036000	1963.2		
T	45.775436000	6.869934000	1959.6		
T	45.775627000	6.871481000	1979.9		
T	45.775558000	6.871812000	1988.8		
T	45.775284000	6.871940000	1993.9		
T	45.775024000	6.872475000	2002.1		
T	45.774887000	6.873622000	2020.1		
T	45.774719000	6.874060000	2028.6		
T	45.774509000	6.874995000	2043.4		
T	45.774616000	6.875530000	2054.1		
T	45.774914000	6.875843000	2061.1		
T	45.774933000	6.876192000	2069.6		
T	45.775135000	6.876728000	2071.7		
T	45.775120000	6.876656000	2072.1		
T	45.775009000	6.876944000	2080.4		
T	45.774918000	6.876976000	2084.1		
T	45.774643000	6.876713000	2092.7		
T	45.774364000	6.876560000	2101.8		
T	45.774261000	6.877256000	2117.6		
T	45.774105000	6.877383000	2124.0		
T	45.774029000	6.877290000	2127.1		
T	45.773895000	6.877291000	2132.3		
T	45.773804000	6.877437000	2137.1		
T	45.773781000	6.877745000	2139.1		
T	45.773308000	6.878304000	2154.6		
T	45.773090000	6.879170000	2156.6		
T	45.772865000	6.879418000	2162.5		
T	45.772888000	6.879537000	2163.0		
T	45.772999000	6.879645000	2163.2		
T	45.772972000	6.879699000	2165.2		
T	45.772423000	6.880259000	2188.0		
T	45.772388000	6.880389000	2191.2		
T	45.772114000	6.880711000	2202.7		
T	45.772099000	6.880849000	2205.7		
T	45.771976000	6.880774000	2207.5		
T	45.771683000	6.881026000	2217.2		
T	45.771641000	6.881225000	2220.9		
T	45.771385000	6.881705000	2229.6		
T	45.771091000	6.881857000	2235.6		
T	45.770908000	6.882070000	2239.8		
T	45.770576000	6.882148000	2244.9		
T	45.770267000	6.882359000	2252.5		
T	45.770061000	6.882539000	2254.8		
T	45.769672000	6.883074000	2264.4		
T	45.769451000	6.883210000	2272.2		
T	45.769203000	6.883148000	2277.4		
T	45.769203000	6.883267000	2280.3		
T	45.768818000	6.883509000	2294.2		
T	45.768929000	6.883621000	2295.8		
T	45.768623000	6.884218000	2307.4		
T	45.768391000	6.884872000	2315.3		
T	45.768318000	6.885392000	2324.9		
T	45.767830000	6.886246000	2334.6		
T	45.767673000	6.886784000	2343.6		
T	45.767849000	6.886689000	2346.4		
T	45.768139000	6.886678000	2352.5		
T	45.768433000	6.886884000	2362.6		
T	45.768887000	6.886674000	2372.2		
T	45.769329000	6.886597000	2369.8		
T	45.769634000	6.887494000	2374.8		
T	45.769836000	6.887899000	2380.1		
T	45.770546000	6.888580000	2393.7		
T	45.770840000	6.889120000	2404.8		
T	45.771561000	6.889290000	2421.8		
T	45.772011000	6.889502000	2430.4		
T	45.772240000	6.889879000	2432.8		
T	45.772099000	6.889861000	2436.5		
T	45.772118000	6.889984000	2437.5		
T	45.772060000	6.890089000	2437.3		
T	45.772015000	6.890072000	2438.9		
T	45.772060000	6.890079000	2437.5		
T	45.771877000	6.889787000	2436.7		
T	45.772167000	6.889801000	2435.0		
T	45.772076000	6.889890000	2437.2		
T	45.772152000	6.889805000	2435.2		
T	45.772240000	6.889846000	2432.6		
T	45.772289000	6.890100000	2426.6		
T	45.772148000	6.890451000	2422.9		
T	45.771965000	6.890681000	2419.8		
T	45.772034000	6.890787000	2412.5		
T	45.772385000	6.890741000	2404.2		
T	45.772488000	6.890885000	2397.5		
T	45.772469000	6.890956000	2394.2		
T	45.772186000	6.891105000	2391.7		
T	45.771950000	6.891553000	2382.3		
T	45.771843000	6.891582000	2383.0		
T	45.771515000	6.891920000	2372.8		
T	45.771271000	6.892023000	2373.5		
T	45.771206000	6.892227000	2366.7		
T	45.771027000	6.892462000	2365.0		
T	45.770714000	6.893215000	2355.7		
T	45.770634000	6.893774000	2349.5		
T	45.770462000	6.894315000	2347.9		
T	45.770443000	6.895072000	2335.2		
T	45.770283000	6.895867000	2331.7		
T	45.770267000	6.896081000	2332.3		
T	45.770386000	6.896656000	2336.7		
T	45.770607000	6.897111000	2334.3		
T	45.770584000	6.896843000	2336.7		
T	45.770664000	6.897357000	2334.2		
T	45.770966000	6.897865000	2338.6		
T	45.771175000	6.898556000	2345.9		
T	45.771202000	6.899120000	2350.4		
T	45.771317000	6.899648000	2350.0		
T	45.771751000	6.900409000	2340.2		
T	45.772129000	6.900599000	2339.1		
T	45.772442000	6.901203000	2337.9		
T	45.772572000	6.901294000	2337.4		
T	45.772682000	6.901488000	2336.0		
T	45.772778000	6.901843000	2333.4		
T	45.772938000	6.901839000	2333.2		
T	45.772961000	6.902107000	2331.9		
T	45.772896000	6.902293000	2330.4		
T	45.772987000	6.902467000	2328.7		
T	45.773392000	6.902828000	2327.7		
T	45.773491000	6.902658000	2328.7		
T	45.773502000	6.902787000	2327.3		
T	45.773399000	6.902801000	2327.7		
T	45.773399000	6.902874000	2327.5		
T	45.773621000	6.903172000	2326.9		
T	45.774014000	6.903123000	2325.1		
T	45.773968000	6.903115000	2325.4		
T	45.774284000	6.903291000	2323.5		
T	45.774288000	6.903213000	2322.7		
T	45.774994000	6.903810000	2311.6		
T	45.775215000	6.905117000	2296.9		
T	45.776157000	6.905293000	2297.6		
T	45.776527000	6.905737000	2296.5		
T	45.776894000	6.906023000	2290.8		
T	45.777294000	6.906169000	2284.2		
T	45.777424000	6.906065000	2279.7		
T	45.777843000	6.906124000	2272.3		
T	45.778530000	6.906736000	2260.4		
T	45.778683000	6.907057000	2257.8		
T	45.778976000	6.907371000	2250.9		
T	45.779297000	6.908116000	2242.3		
T	45.779945000	6.909244000	2229.1		
T	45.779926000	6.909670000	2223.2		
T	45.780022000	6.909820000	2218.9		
T	45.780079000	6.910256000	2212.2		
T	45.779957000	6.910645000	2207.4		
T	45.779949000	6.910989000	2205.9		
T	45.780178000	6.911150000	2201.1		
T	45.780380000	6.911657000	2200.4		
T	45.780849000	6.911684000	2197.9		
T	45.781013000	6.911851000	2193.1		
T	45.780876000	6.912599000	2184.6		
T	45.780907000	6.912889000	2182.8		
T	45.781300000	6.913963000	2179.1		
T	45.781693000	6.914628000	2173.1		
T	45.782104000	6.915035000	2172.0		
T	45.782841000	6.915529000	2169.8		
T	45.783264000	6.916186000	2168.2		
T	45.783241000	6.916318000	2170.0		
T	45.783669000	6.916961000	2166.1		
T	45.783901000	6.917848000	2169.8		
T	45.784050000	6.918136000	2167.9		
T	45.784061000	6.918420000	2165.3		
T	45.784153000	6.918682000	2161.9		
T	45.784492000	6.919039000	2151.1		
T	45.784607000	6.919357000	2147.7		
T	45.784904000	6.919678000	2140.2		
T	45.785053000	6.920060000	2137.7		
T	45.785469000	6.920686000	2134.2		
T	45.785835000	6.920997000	2122.9		
T	45.786198000	6.922287000	2106.9		
T	45.786549000	6.923129000	2088.8		
T	45.786682000	6.923344000	2083.1		
T	45.786800000	6.923403000	2075.8		
T	45.787251000	6.924352000	2056.8		
T	45.787434000	6.924540000	2049.6		
T	45.787571000	6.925029000	2042.8		
T	45.787876000	6.925332000	2033.1		
T	45.788155000	6.925922000	2023.9		
T	45.788303000	6.926014000	2019.2		
T	45.788723000	6.926609000	2009.2		
T	45.788879000	6.927136000	2007.7		
T	45.789322000	6.927947000	2000.7		
T	45.789532000	6.928209000	1994.2		
T	45.789577000	6.928412000	1993.7		
T	45.789742000	6.928688000	1986.1		
T	45.789955000	6.929336000	1978.8		
T	45.790070000	6.929965000	1972.2		
T	45.790119000	6.929871000	1971.5		
T	45.790169000	6.930303000	1967.6		
T	45.790367000	6.930713000	1961.9		
T	45.790604000	6.930876000	1957.2		
T	45.790707000	6.931135000	1955.2		
T	45.790764000	6.931202000	1954.5		
T	45.790920000	6.931214000	1955.7		
T	45.791088000	6.932690000	1953.7		
T	45.791225000	6.933115000	1954.1		
T	45.791378000	6.934501000	1925.7		
T	45.791527000	6.935181000	1918.1		
T	45.791637000	6.935324000	1918.0		
T	45.792019000	6.935557000	1908.5		
T	45.792210000	6.935889000	1901.5		
T	45.792503000	6.936006000	1900.5		
T	45.793282000	6.936685000	1893.1		
T	45.793503000	6.936969000	1895.9		
T	45.793659000	6.937339000	1891.9		
T	45.793606000	6.937304000	1890.7		
T	45.793766000	6.937507000	1892.4		
T	45.793865000	6.937902000	1893.3		
T	45.793751000	6.938231000	1891.6		
T	45.793663000	6.938388000	1891.3		
T	45.793278000	6.938582000	1885.1		
T	45.793087000	6.938816000	1883.0		
T	45.792843000	6.938871000	1874.6		
T	45.792843000	6.938450000	1868.1		
T	45.792736000	6.937998000	1861.2		
T	45.792377000	6.938471000	1845.4		
T	45.792316000	6.938747000	1840.1		
T	45.792374000	6.939369000	1831.6		
T	45.792152000	6.940395000	1814.6		
T	45.791798000	6.940476000	1804.4		
T	45.791378000	6.940218000	1794.9		
T	45.791225000	6.940211000	1792.9		
T	45.791042000	6.940064000	1788.7		
T	45.790760000	6.939677000	1780.4		
T	45.790661000	6.939674000	1777.3		
T	45.790031000	6.940408000	1763.6		
T	45.789585000	6.940474000	1763.4		
T	45.789200000	6.941104000	1756.3		
T	45.788658000	6.941459000	1752.7		
T	45.788464000	6.941759000	1750.9		
T	45.788300000	6.942247000	1745.2		
T	45.788303000	6.942470000	1739.5		
T	45.788658000	6.943456000	1717.5		
T	45.788925000	6.943689000	1709.4		
T	45.788857000	6.944249000	1700.5		
T	45.788975000	6.944383000	1696.4		
T	45.789181000	6.944416000	1691.7		
T	45.789581000	6.944663000	1684.5		
T	45.790031000	6.944386000	1687.9		
T	45.790142000	6.944406000	1688.5		
T	45.790287000	6.944949000	1685.1		
T	45.790726000	6.945723000	1686.6		
T	45.790771000	6.946352000	1685.6		
T	45.790638000	6.945950000	1683.5		
T	45.790173000	6.945101000	1678.8		
T	45.789989000	6.944991000	1677.0		
T	45.789379000	6.945148000	1669.1		
T	45.789169000	6.945526000	1661.2		
T	45.789177000	6.945666000	1656.4		
T	45.789253000	6.945739000	1650.8		
T	45.789326000	6.945728000	1647.9		
T	45.789616000	6.945395000	1657.4		
T	45.789814000	6.945424000	1655.1		
T	45.789951000	6.945545000	1648.7		
T	45.790215000	6.946993000	1620.2		
T	45.790287000	6.948562000	1602.4		
T	45.790405000	6.948717000	1600.9		
T	45.790668000	6.948813000	1602.9		
T	45.790741000	6.948904000	1599.3		
T	45.790920000	6.949731000	1581.8		
T	45.790909000	6.949945000	1575.8		
T	45.790825000	6.950025000	1571.7		
T	45.790768000	6.950003000	1569.4		
T	45.790619000	6.949721000	1566.5		
T	45.790356000	6.949417000	1562.7		
T	45.789967000	6.949137000	1555.3		
T	45.789932000	6.949193000	1550.5		
T	45.790138000	6.949523000	1549.8		
T	45.790138000	6.950619000	1530.3		
T	45.790203000	6.950730000	1528.5		
T	45.790623000	6.951031000	1523.7		
T	45.790688000	6.951249000	1519.5		
T	45.790714000	6.952165000	1506.2		
T	45.790520000	6.953406000	1487.3		
T	45.790581000	6.954009000	1481.0		
T	45.790401000	6.954756000	1461.3		
T	45.790447000	6.954871000	1461.1		
T	45.790733000	6.955066000	1453.7		
T	45.790756000	6.955166000	1447.2		
T	45.791546000	6.955428000	1424.5		
T	45.791618000	6.955541000	1419.3		
T	45.791527000	6.955707000	1410.4		
T	45.791580000	6.955700000	1411.3		
T	45.791557000	6.955773000	1407.4		
T	45.791374000	6.955833000	1401.8		
T	45.791470000	6.955868000	1401.5		
T	45.791477000	6.955986000	1396.0		
T	45.791695000	6.956159000	1390.3		
T	45.791176000	6.956434000	1368.4		
T	45.790821000	6.956517000	1359.7		
T	45.790749000	6.956607000	1356.4		
T	45.790737000	6.956677000	1353.3		
T	45.790840000	6.956696000	1352.0		
T	45.790699000	6.956762000	1350.2		
T	45.790710000	6.956826000	1347.6		
T	45.790916000	6.956866000	1346.8		
T	45.791145000	6.957149000	1338.1		
T	45.791126000	6.957231000	1334.7		
T	45.790874000	6.957368000	1328.0		
T	45.791229000	6.957553000	1321.3		
T	45.790943000	6.957935000	1307.5		
T	45.790798000	6.957995000	1306.4		
T	45.790497000	6.958418000	1293.7		
T	45.790310000	6.958502000	1291.7		
T	45.790051000	6.958831000	1280.9		
T	45.789814000	6.958982000	1275.0		
T	45.789650000	6.959000000	1273.4		
T	45.789162000	6.958890000	1269.0		
T	45.788956000	6.958934000	1267.4		
T	45.788807000	6.958893000	1267.6		
T	45.788780000	6.958943000	1266.8		
T	45.788677000	6.959501000	1260.1		
T	45.788731000	6.960023000	1253.5		
T	45.788643000	6.960590000	1248.4		
T	45.788841000	6.961267000	1240.1		
T	45.788925000	6.961846000	1234.8		
T	45.789249000	6.962671000	1226.1		
T	45.789398000	6.962875000	1223.5		
T	45.789352000	6.962591000	1225.6		
T	45.789387000	6.962543000	1225.4		
