latitude,longitude,altitude
45.873688,6.772521,1772.3
45.873928,6.77273,1769.5
45.873882,6.773792,1771.0
45.873665,6.775121,1773.2
45.873905,6.776021,1777.0
45.873924,6.77633,1778.8
45.873859,6.77794,1787.8
45.873692,6.778895,1795.9
45.873592,6.778918,1797.4
45.873295,6.778713,1795.7
45.873226,6.778249,1788.9
45.87307,6.778109,1784.0
45.873047,6.777828,1780.3
45.872429,6.777592,1758.3
45.872414,6.777529,1756.7
45.872005,6.778633,1753.6
45.871773,6.780127,1760.2
45.871468,6.780834,1755.4
45.871284,6.781087,1748.9
45.871265,6.781295,1751.4
45.871029,6.781876,1750.4
45.870567,6.782186,1749.8
45.870258,6.78226,1746.7
45.869823,6.782531,1745.7
45.869534,6.783018,1749.6
45.869488,6.783425,1764.8
45.86932,6.783521,1756.0
45.86924,6.783784,1760.4
45.86911,6.783798,1752.6
45.868858,6.784005,1757.6
45.86853,6.784505,1773.3
45.868103,6.784717,1761.0
45.86797,6.785068,1772.6
45.867783,6.784978,1759.0
45.867722,6.78511,1766.8
45.867622,6.78508,1764.2
45.867321,6.785239,1772.4
45.86681,6.785303,1770.1
45.866364,6.785217,1761.3
45.866356,6.785148,1757.3
45.866184,6.785258,1762.4
45.865776,6.785262,1755.2
45.865646,6.786056,1769.8
45.865528,6.786352,1773.1
45.865395,6.786395,1769.9
45.865192,6.787232,1777.6
45.864998,6.787624,1777.3
45.864944,6.787631,1777.5
45.864475,6.787103,1781.1
45.864166,6.786884,1785.2
45.864101,6.786683,1786.9
45.864017,6.786639,1787.9
45.864014,6.786508,1787.0
45.863914,6.786465,1787.6
45.863827,6.786284,1781.4
45.863873,6.786122,1775.9
45.863785,6.786059,1770.2
45.863922,6.785614,1758.3
45.863888,6.785264,1749.6
45.863586,6.784993,1741.2
45.863556,6.784835,1738.1
45.863644,6.784836,1739.0
45.863674,6.784398,1731.8
45.863537,6.784137,1727.0
45.863571,6.783768,1721.0
45.863522,6.783577,1715.9
45.862953,6.783443,1706.1
45.862976,6.783182,1696.0
45.862717,6.78297,1696.3
45.862621,6.783103,1703.4
45.86253,6.783054,1707.5
45.862331,6.783094,1716.5
45.862236,6.78287,1721.5
45.862164,6.782955,1724.8
45.862099,6.782887,1729.0
45.862152,6.782905,1725.9
45.862114,6.78294,1727.6
45.862156,6.782907,1725.7
45.862019,6.783114,1731.4
45.861881,6.783084,1738.6
45.861736,6.783217,1746.6
45.861637,6.782981,1755.1
45.861675,6.782788,1757.2
45.861584,6.782787,1764.3
45.861244,6.781697,1783.0
45.860828,6.781546,1799.9
45.860806,6.781489,1798.9
45.860668,6.781481,1805.1
45.860481,6.781268,1809.9
45.860481,6.780896,1809.5
45.860401,6.780835,1813.2
45.860168,6.78087,1823.3
45.860081,6.780818,1826.7
45.860092,6.780599,1825.0
45.859585,6.780242,1837.5
45.859379,6.780426,1840.9
45.859402,6.780666,1843.3
45.85931,6.780971,1848.2
45.859379,6.780683,1843.9
45.859329,6.78025,1840.2
45.859478,6.780184,1838.6
45.859505,6.780052,1838.3
45.859215,6.780029,1841.5
45.859138,6.779964,1842.7
45.859142,6.779814,1844.3
45.858803,6.779557,1850.7
45.858707,6.779223,1856.9
45.858646,6.779234,1856.8
45.858448,6.779038,1862.1
45.858364,6.778746,1869.5
45.858208,6.778502,1877.4
45.858074,6.778417,1881.2
45.857929,6.778422,1884.8
45.857883,6.778313,1889.7
45.857712,6.778235,1896.9
45.857677,6.777963,1904.5
45.857643,6.778009,1904.0
45.857674,6.777863,1907.0
45.857517,6.777491,1914.2
45.857204,6.777277,1921.7
45.857216,6.777205,1922.3
45.857002,6.776834,1928.1
45.856972,6.776626,1929.7
45.856857,6.776494,1933.4
45.856758,6.776486,1935.7
45.856407,6.776064,1944.1
45.85603,6.775316,1962.5
45.855873,6.775177,1967.7
45.855717,6.774829,1974.8
45.855518,6.774677,1979.4
45.855331,6.774383,1987.4
45.85524,6.774404,1988.6
45.854919,6.773999,1996.4
45.854519,6.77375,2005.8
45.85421,6.773433,2010.8
45.853924,6.773315,2014.9
45.853737,6.773151,2020.4
45.85323,6.772954,2029.4
45.853058,6.772735,2034.9
45.852722,6.77249,2042.0
45.852695,6.772363,2045.2
45.852177,6.772028,2057.0
45.8521,6.771847,2061.9
45.851959,6.77183,2062.8
45.851753,6.771686,2070.1
45.851715,6.771561,2074.6
45.851761,6.771574,2073.4
45.851383,6.77131,2087.5
45.851089,6.770963,2096.4
45.850971,6.770678,2103.0
45.851059,6.77067,2101.1
45.850906,6.770401,2108.5
45.850498,6.770074,2118.4
45.850304,6.770076,2117.2
45.85017,6.770276,2116.9
45.850109,6.770105,2110.4
45.85004,6.770203,2110.7
45.849979,6.769899,2098.1
45.850109,6.769541,2096.2
45.850014,6.769519,2090.4
45.849712,6.769751,2079.5
45.849644,6.769422,2068.9
45.849548,6.769429,2064.1
45.849438,6.769567,2061.3
45.849415,6.769368,2056.3
45.849297,6.769282,2048.1
45.849331,6.769231,2049.2
45.849216,6.769138,2040.5
45.849125,6.769199,2036.2
45.849144,6.769139,2036.0
45.849041,6.769145,2029.8
45.84906,6.768971,2027.2
45.848888,6.769192,2021.6
45.848881,6.768848,2014.1
45.848763,6.768907,2007.7
45.848778,6.768629,2003.9
45.84848,6.767915,1975.8
45.848507,6.767797,1977.6
45.848385,6.767591,1970.1
45.848221,6.767768,1956.6
45.848095,6.768144,1949.7
45.847755,6.768398,1940.4
45.847614,6.768434,1936.4
45.847656,6.767776,1919.0
45.847431,6.767241,1900.9
45.847183,6.767583,1889.9
45.847157,6.767322,1883.2
45.846935,6.766847,1866.1
45.846863,6.767028,1862.8
45.846577,6.767134,1851.3
45.846527,6.767131,1849.2
45.846539,6.766934,1844.9
45.84647,6.766857,1840.4
45.84613,6.766932,1829.3
45.846119,6.766657,1822.1
45.846058,6.766476,1816.7
45.845978,6.766477,1813.9
45.845955,6.766346,1810.1
45.845871,6.766377,1807.3
45.84584,6.766324,1805.1
45.845886,6.766326,1807.0
45.845497,6.766096,1788.0
45.845348,6.765916,1778.9
45.845257,6.765934,1776.1
45.845261,6.765792,1772.6
45.845123,6.765708,1765.4
45.845142,6.765643,1764.9
45.845062,6.765579,1760.2
45.844845,6.765083,1744.0
45.844868,6.765025,1745.0
45.844917,6.765056,1747.6
45.844772,6.765069,1740.1
45.844818,6.765053,1742.4
45.844032,6.764582,1707.0
45.843941,6.764592,1702.5
45.843925,6.764711,1701.5
45.843784,6.764722,1696.6
45.843498,6.764367,1681.7
45.843311,6.764299,1674.3
45.843147,6.764044,1666.3
45.84296,6.763958,1659.2
45.842918,6.763844,1656.6
45.842747,6.763779,1651.0
45.842579,6.763614,1644.3
45.842384,6.763562,1639.0
45.841442,6.762562,1610.7
45.841209,6.762067,1601.2
45.841103,6.761038,1587.9
45.840786,6.760101,1575.8
45.840443,6.760035,1572.6
45.839993,6.760116,1567.8
45.839657,6.760258,1565.4
45.839447,6.760115,1562.9
45.839214,6.760207,1561.2
45.839153,6.760008,1560.0
45.839054,6.760211,1560.8
45.83913,6.760075,1560.3
45.839127,6.759821,1558.6
45.839157,6.760101,1560.4
45.839088,6.760164,1560.6
45.839233,6.760234,1561.5
45.839336,6.7602,1562.4
45.839157,6.76011,1560.4
45.839172,6.760184,1560.7
45.839207,6.759564,1557.6
45.839138,6.759855,1558.9
45.839161,6.760152,1560.5
45.839294,6.760095,1561.4
45.839207,6.76001,1560.3
45.839115,6.760048,1560.2
45.839115,6.760175,1560.6
45.839123,6.760091,1560.3
45.839172,6.760119,1560.5
45.839123,6.760126,1560.5
45.839249,6.759993,1560.5
45.839062,6.760158,1560.6
45.839119,6.759976,1559.8
45.839165,6.759959,1559.7
45.839073,6.760139,1560.5
45.839104,6.760343,1561.2
45.839119,6.760059,1560.2
45.839058,6.760593,1561.6
45.839046,6.760171,1560.6
45.838631,6.760398,1561.8
45.839012,6.760189,1560.7
45.838776,6.760238,1560.9
45.838921,6.760421,1561.1
45.838978,6.760347,1561.1
45.838932,6.760149,1560.5
45.839157,6.76005,1560.2
45.83905,6.760171,1560.6
45.839054,6.759877,1558.9
45.838959,6.759719,1557.2
45.838963,6.75951,1555.4
45.838879,6.759338,1552.1
45.838966,6.759186,1550.4
45.838902,6.759088,1549.4
45.838863,6.759124,1549.5
45.838921,6.757797,1555.4
45.839001,6.75748,1561.4
45.839001,6.757268,1567.5
45.838917,6.757204,1570.3
45.839153,6.756877,1579.8
45.839001,6.756705,1587.7
45.83902,6.756641,1590.2
45.839451,6.756347,1601.7
45.83955,6.756188,1607.2
45.8396,6.755922,1617.9
45.839466,6.755951,1618.6
45.839333,6.755883,1622.0
45.839371,6.755932,1619.9
45.83942,6.755919,1620.4
45.83934,6.755831,1624.1
45.838947,6.755765,1631.0
45.838615,6.755869,1631.0
45.837917,6.755632,1654.1
45.837875,6.75553,1659.1
45.837837,6.755577,1657.4
45.837608,6.75551,1668.2
45.837578,6.755594,1666.2
45.837345,6.755615,1677.9
45.837254,6.755724,1677.8
45.837078,6.755628,1686.4
45.836826,6.755597,1693.6
45.836708,6.755498,1700.6
45.836716,6.755232,1708.9
45.836628,6.755296,1709.2
45.836395,6.755243,1720.3
45.836311,6.755157,1724.6
45.836315,6.754821,1728.9
45.836227,6.754826,1730.9
45.83604,6.754531,1735.5
45.836048,6.754253,1734.8
45.836273,6.753455,1736.2
45.836449,6.752461,1740.7
45.836071,6.752297,1743.2
45.835869,6.752001,1741.9
45.835609,6.751799,1739.0
45.835316,6.751756,1738.0
45.835186,6.751667,1737.7
45.835056,6.751732,1739.3
